#ID,メイン名,サブ名,説明,スキル効果値表示パラメータ番号,スキル効果値表示機能番号,スキル効果値表示タイプ,ボイス番号,分類,種類,属性,ジョブタイプ,物理or魔法,コスト,優先度,,スキルランク,ヘイト倍率,ターゲット,発動タイミング,維持ターン,条件,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,属性デッキコンボ,機能,,,,,,,,
#,（P9/E12文字）,（14文字）,,,,,,,,,,,,PvE,PvP,,,,,,,,,,,,一枚ごとの倍率上昇,発動条件,パラメータ1,パラメータ2,パラメータ3,パラメータ4,パラメータ5,優先度,機能ID,
30101331,普通攻击（物理）,部位①,【通常行動】通常攻撃（魔法）：威力　1000,,0,,,,ATTACK,ICE,,PHYSICS,,51,51,RANK1,,USER_ONE,,,,,,,,,,,,,,,,,30101331,
30101332,强攻击（物理）,部位①,【スキル】単体攻撃（物理）：威力　1800,,0,,,,ATTACK,ICE,,PHYSICS,,51,51,RANK1,,USER_ONE,,,,,,,,,,,,,,,,,30101332,
#超弩級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30101421,全体INTUP,部位②,【スキル】全体INTUP：威力　MND*1.0/3T,,0,,,,SUPPORT,NULL,,MAGIC,,31,31,RANK1,,ENEMY_ALL,,,,,,,,,,,,,,,,,30101421,
#ファイアキメラ（新春型シシマイ共通）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#中級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30201111,普通攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,42,42,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201111,
30201112,全体攻击,,,,0,,,,ATTACK,FIRE,NULL,MAGIC,,41,41,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30201112,
30201121,普通攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,42,42,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201121,
30201122,强攻击,,,,0,,,,ATTACK,FIRE,NULL,MAGIC,,41,41,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201122,
#上級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30201211,普通攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,42,42,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201211,
30201212,全体攻击,,,,0,,,,ATTACK,FIRE,NULL,MAGIC,,41,41,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30201212,
30201221,普通攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,42,42,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201221,
30201222,强攻击,,,,0,,,,ATTACK,FIRE,NULL,MAGIC,,41,41,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201222,
30201231,恢复,,,,0,,,,RECOVERY,NULL,NULL,ALL,,21,21,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30201231,
30201241,ATKUP,,,,0,,,,SUPPORT,NULL,NULL,ALL,,11,11,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30201241,
#超級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30201311,普通攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,42,42,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201311,
30201312,全体攻击,,,,0,,,,ATTACK,FIRE,NULL,MAGIC,,41,41,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30201312,
30201321,普通攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,42,42,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201321,
30201322,强攻击,,,,0,,,,ATTACK,FIRE,NULL,MAGIC,,41,41,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201322,
30201331,恢复,,,,0,,,,RECOVERY,NULL,NULL,ALL,,21,21,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30201331,
30201341,ATKUP,,,,0,,,,SUPPORT,NULL,NULL,ALL,,11,11,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30201341,
#超弩級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30201411,普通攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,42,42,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201411,
30201412,全体攻击,,,,0,,,,ATTACK,FIRE,NULL,MAGIC,,41,41,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30201412,
30201421,普通攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,42,42,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201421,
30201422,强攻击,,,,0,,,,ATTACK,FIRE,NULL,MAGIC,,41,41,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30201422,
30201431,恢复,,,,0,,,,RECOVERY,NULL,NULL,ALL,,21,21,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30201431,
30201441,ATKUP,,,,0,,,,SUPPORT,NULL,NULL,ALL,,11,11,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30201441,
#ブラックチアリーイーター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30301111,普通攻击,本体,【通常行動】通常闇攻撃（魔法）： INT * 100,,0,,,,SORCERY,FIRE,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30301111,
30301112,全体攻击,本体,【スキル行動】全体闇攻撃（魔法）： INT * 1500,,0,,,,SORCERY,FIRE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30301112,
30301121,普通攻击,部位①,【通常行動】通常闇攻撃（魔法）： INT * 100,,0,,,,SORCERY,FIRE,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30301121,
30301122,单体ATKUP,部位①中級,【スキル行動】全体INTUP： MND * 100 単体DEFDOWN：固定値,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30301122,
30301123,单体ATKUP,部位①上級,【スキル行動】全体INTUP： MND * 100 単体DEFDOWN：固定値,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30301123,
30301124,单体ATKUP,部位①超級,【スキル行動】全体INTUP： MND * 100 単体DEFDOWN：固定値,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30301124,
30301125,单体ATKUP,部位①超弩級,【スキル行動】全体INTUP： MND * 100 単体DEFDOWN：固定値,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30301125,
30301131,普通攻击,本体,【通常行動】通常闇攻撃（物理）： ATK * 100,,0,,,,SORCERY,FIRE,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30301131,
30301132,DEFDOWN,部位②（超弩級）,【スキル行動】全体DEFDOWN： 固定値,,0,,,,JAMMING,NULL,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30301132,
30301133,MDEFDOWN,部位②（超弩級）,【スキル行動】全体MDEFDOWN： 固定値,,0,,,,JAMMING,NULL,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30301133,
30301134,MNDDOWN,部位②（超弩級）,【スキル行動】全体MNDDOWN： 固定値,,0,,,,JAMMING,NULL,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30301134,
30301135,MNDDOWN(超弩级),部位②（超弩級）,【スキル行動】全体MNDDOWN： 固定値,,0,,,,JAMMING,NULL,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30301135,
#１等級ウィンドドラゴン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30401111,普通攻击（魔法）,本体,【通常行動】通常魔法攻撃：INT*100,,0,,,,SORCERY,WIND,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30401111,
30401112,全体攻击（魔法）,本体,【スキル】全体魔法攻撃：INT*150,,0,,,,SORCERY,WIND,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30401112,
30401121,普通攻击（物理）,部位①,【通常行動】通常物理攻撃：ATK*100,,0,,,,ATTACK,WIND,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30401121,
30401122,强攻击（物理）,部位①,【スキル】単体物理攻撃：ATK*150/ATKUP：MND*100/永続,,0,,,,ATTACK,WIND,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30401122,
30401131,单体INTUP,部位②,【スキル】単体INTUP：威力　MND*100/3T,,0,,,,SUPPORT,WIND,NULL,MAGIC,,,,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30401131,
30401132,单体INTUP,部位②,【スキル】単体INTUP：威力　MND*100/永続,,0,,,,SUPPORT,WIND,NULL,MAGIC,,,,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30401132,
#恋する乙女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30501111,普通攻击（魔法）,本体,【通常行動】通常魔法攻撃：INT*100,,0,,,,SORCERY,WIND,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30501111,
30501112,全体攻击（魔法）,本体,【スキル】全体魔法攻撃：INT*150,,0,,,,SORCERY,WIND,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30501112,
30501121,普通攻击（物理）,部位①,【通常行動】通常物理攻撃：ATK*100,,0,,,,ATTACK,WIND,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30501121,
30501122,强攻击（物理）,部位①,【スキル】単体物理攻撃：ATK*150/ATKUP：MND*100/永続,,0,,,,ATTACK,WIND,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30501122,
30501131,单体INTUP,部位②,【スキル】単体INTUP：威力　MND*100/3T,,0,,,,SUPPORT,WIND,NULL,MAGIC,,,,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30501131,
30501132,单体INTUP,部位②,【スキル】単体INTUP：威力　MND*100/永続,,0,,,,SUPPORT,WIND,NULL,MAGIC,,,,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30501132,
#強襲型セイントキメラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30601111,单体攻击（魔法）,本体,単体攻撃：INT*150,,0,,,,SORCERY,LIGHT,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30601111,
30601112,全体攻击（魔法）,本体,全体攻撃：INT*100,,0,,,,SORCERY,LIGHT,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30601112,
30601113,普通攻击（物理）,本体,単体攻撃：ATK*100,,0,,,,ATTACK,LIGHT,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30601113,
30601121,单体攻击（魔法）,部位①,単体攻撃：INT*150,,0,,,,SORCERY,LIGHT,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30601121,
30601122,普通攻击（物理）,部位①,単体攻撃：ATK*100,,0,,,,ATTACK,LIGHT,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30601122,
30601123,普通攻击（物理）,部位①,単体攻撃：ATK*75 ※2回攻撃用,,0,,,,ATTACK,LIGHT,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30601123,
30601131,单体恢复,部位②,単体回復：MND*100,,0,,,,RECOVERY,LIGHT,NULL,MAGIC,,,,RANK1,0,ENEMY_ONE,,,,,,,,,,,,,,,,,30601131,
30601141,全体ATK&INTUP,部位③,全体ATK&INTUP：MND*100,,0,,,,SUPPORT,LIGHT,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30601141,
#ブルーチアリーイーター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30701111,普通攻击,本体,通常氷攻撃（魔法）： INT * 100,,0,,,,SORCERY,ICE,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30701111,
30701112,全体攻击,本体,全体氷攻撃（魔法）： INT * 100,,0,,,,SORCERY,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30701112,
30701113,普通攻击,部位①,通常氷攻撃（魔法）： INT * 100,,0,,,,SORCERY,ICE,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30701113,
30701114,单体INTUP,部位①,全体INTUP：MND*0（フェイント用）,1,0,NULL,,,ATTACK,NULL,NULL,PHYSICS,0,99,99,RANK1,0,SELF,,,,,,,,,,,,,,,,,30701114,
30701115,单体INTUP,部位①,全体INTUP：MND*100　単体DEFDOWN：MND*50,,0,,,,SUPPORT,ICE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30701115,
30701116,普通攻击,部位②,通常氷攻撃（物理）： ATK * 200,,0,,,,ATTACK,ICE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30701116,
30701117,DEFDOWN,部位②,ランダム全体DEFDOWN ：MND * 100 (永続）,,0,,,,JAMMING,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30701117,
30701118,MDEFDOWN,部位②,ランダム全体MDEFDOWN ：MND * 100 (永続）,,0,,,,JAMMING,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30701118,
30701119,单体INTUP,部位①,全体INTUP：MND*0（フェイント用）※超ド級用,1,0,NULL,,,ATTACK,NULL,NULL,PHYSICS,0,99,99,RANK1,0,SELF,,,,,,,,,,,,,,,,,30701119,
30701120,单体INTUP,部位①,全体INTUP：MND*100　単体DEFDOWN：MND*50※超ド級用,,0,,,,SUPPORT,ICE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30701120,
30701121,DEFDOWN,部位②,ランダム全体DEFDOWN ：MND * 100 (永続）※超ド級用,,0,,,,JAMMING,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30701121,
30701122,MDEFDOWN,部位②,ランダム全体MDEFDOWN ：MND * 100 (永続）※超ド級用,,0,,,,JAMMING,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30701122,
#お雛様 ※3月上旬はコチラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30801111,普通攻击,本体,通常氷攻撃（魔法）： INT * 100,,0,,,,SORCERY,ICE,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30801111,
30801112,全体攻击,本体,全体氷攻撃（魔法）： INT * 100,,0,,,,SORCERY,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30801112,
30801113,普通攻击,部位①,通常氷攻撃（魔法）： INT * 100,,0,,,,SORCERY,ICE,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30801113,
30801114,误动作,部位①,全体INTUP：MND*0（フェイント用）,1,0,NULL,,,ATTACK,NULL,NULL,PHYSICS,0,99,99,RANK1,0,SELF,,,,,,,,,,,,,,,,,30801114,
30801115,强化润滑油,部位①,全体INTUP：MND*100　単体DEFDOWN：MND*50,,0,,,,SUPPORT,ICE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30801115,
30801116,普通攻击,部位②,通常氷攻撃（物理）： ATK * 170,,0,,,,ATTACK,ICE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30801116,
30801117,DEFDOWN,部位②,ランダム全体DEFDOWN ：MND * 100 (永続）,,0,,,,JAMMING,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30801117,
30801118,MDEFDOWN,部位②,ランダム全体MDEFDOWN ：MND * 100 (永続）,,0,,,,JAMMING,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30801118,
30801119,误动作,部位①,全体INTUP：MND*0（フェイント用）※超ド級用,1,0,NULL,,,ATTACK,NULL,NULL,PHYSICS,0,99,99,RANK1,0,SELF,,,,,,,,,,,,,,,,,30801119,
30801120,强化润滑油,部位①,全体INTUP：MND*100　単体DEFDOWN：MND*50※超ド級用,,0,,,,SUPPORT,ICE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30801120,
30801121,DEFDOWN,部位②,ランダム全体DEFDOWN ：MND * 100 (永続）※超ド級用,,0,,,,JAMMING,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30801121,
30801122,MDEFDOWN,部位②,ランダム全体MDEFDOWN ：MND * 100 (永続）※超ド級用,,0,,,,JAMMING,ICE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30801122,
#クーホリン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#中級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30901111,全体ATK＆INT增益,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901111,
30901112,通常攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901112,
30901113,减益取消,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901113,
30901114,通常攻击（连续）,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901114,
30901115,盖伯尔加,,,,0,,,,SORCERY,FIRE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30901115,
#上級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30901211,全体ATK增益,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901211,
30901212,全体ATK＆INT增益,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901212,
30901213,通常攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901213,
30901214,减益取消,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901214,
30901215,通常攻击（连续）,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901215,
30901216,自身INT UP,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,SELF,,,,,,,,,,,,,,,,,30901216,
30901217,盖伯尔加,,,,0,,,,SORCERY,FIRE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30901217,
#超級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30901311,全体ATK增益,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901311,
30901312,全体ATK＆INT增益,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901312,
30901313,通常攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901313,
30901314,通常攻击（连续）,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901314,
30901315,减益取消,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901315,
30901316,通常攻击（连续）,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901316,
30901317,自身INT UP,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,SELF,,,,,,,,,,,,,,,,,30901317,
30901318,盖伯尔加,,,,0,,,,SORCERY,FIRE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30901318,
#超ド級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30901411,全体ATK增益,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901411,
30901412,全体ATK＆INT增益,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,30901412,
30901413,通常攻击,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901413,
30901414,通常攻击（连续）,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901414,
30901415,减益取消,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30901415,
30901416,通常攻击（连续）,,,,0,,,,ATTACK,FIRE,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,30901416,
30901417,自身INT UP,,,,0,,,,SUPPORT,FIRE,NULL,MAGIC,,,,RANK1,0,SELF,,,,,,,,,,,,,,,,,30901417,
30901418,盖伯尔加,,,,0,,,,SORCERY,FIRE,NULL,MAGIC,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,30901418,
#カラティン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#中級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31001111,通常攻击,本体,通常攻撃：ATK*100,,0,,,,ATTACK,DARK,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,31001111,
31001112,自身增益（防御UP）,本体,全体DEF ＆ MDEF UP：MND*100,,0,,,,SUPPORT,DARK,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,31001112,
31001113,自身增益（攻击UP）,本体,全体ATK ＆ INT UP：MND*100,,0,,,,SUPPORT,DARK,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,31001113,
31001114,全体攻击,部位①,全体攻撃：ATK*200,,0,,,,ATTACK,DARK,NULL,PHYSICS,,,,RANK1,0,USER_ALL,,,,,,,,,,,,,,,,,31001114,
31001115,通常攻击,部位②,通常攻撃（2～3回）：INT*75,,0,,,,SORCERY,DARK,NULL,MAGIC,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,31001115,
#上級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31001211,通常攻击,本体,通常攻撃：ATK*100,,0,,,,ATTACK,DARK,NULL,PHYSICS,,,,RANK1,0,USER_ONE,,,,,,,,,,,,,,,,,31001211,
31001212,自身增益（防御UP）,本体,全体DEF ＆ MDEF UP：MND*100,,0,,,,SUPPORT,DARK,NULL,MAGIC,,,,RANK1,0,ENEMY_ALL,,,,,,,,,,,,,,,,,31001212,
